rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,n_valid_returns
2015-01-01,2015-04-01,361,360,0,361
2015-04-01,2015-07-01,360,360,1,360
2015-07-01,2015-10-01,391,390,1,391
2015-10-01,2016-01-01,424,424,1,424
2016-01-01,2016-04-01,412,409,1,410
2016-04-01,2016-07-01,402,400,1,400
2016-07-01,2016-10-01,414,411,1,412
2016-10-01,2017-01-01,387,385,1,385
2017-01-01,2017-04-01,384,380,1,382
2017-04-01,2017-07-01,404,402,1,402
2017-07-01,2017-10-01,428,423,2,426
2017-10-01,2018-01-01,390,388,2,388
2018-01-01,2018-04-01,417,414,2,416
2018-04-01,2018-07-01,429,428,2,428
2018-07-01,2018-10-01,442,441,2,441
2018-10-01,2019-01-01,426,424,3,425
2019-01-01,2019-04-01,455,454,3,454
2019-04-01,2019-07-01,440,439,3,439
2019-07-01,2019-10-01,448,447,3,447
2019-10-01,2020-01-01,445,444,3,444
2020-01-01,2020-04-01,418,417,3,417
2020-04-01,2020-07-01,512,511,3,511
2020-07-01,2020-10-01,492,491,3,491
2020-10-01,2021-01-01,489,488,3,488
